consulta_texto,consulta_normalizada,vertical,tipo_intencion,conjunto,ambito_tipo,ambito_id,fecha_captura,herramienta,ventana,volumen_mes,cpc_estimado,dificultad_seo
ortodoncista cerca de mi en Ibagué,ortodoncista-cerca-de-mi-3-73001,ortodoncia,servicio,nucleo,municipio,73001,2026-09-05,ubersuggest,12m,46,2100,20
clinica de ortodoncia en Ibagué,clinica-de-ortodoncia-4-73001,ortodoncia,servicio,nucleo,municipio,73001,2026-09-05,ubersuggest,12m,33,2400,24
ortodoncista en Neiva,ortodoncista-0-41001,ortodoncia,servicio,nucleo,municipio,41001,2026-09-05,ubersuggest,12m,60,1200,8
brackets precio en Neiva,brackets-precio-1-41001,ortodoncia,precio,nucleo,municipio,41001,2026-09-05,ubersuggest,12m,52,1500,12
ortodoncia invisible en Neiva,ortodoncia-invisible-2-41001,ortodoncia,servicio,nucleo,municipio,41001,2026-09-05,ubersuggest,12m,44,1800,16
ortodoncista cerca de mi en Neiva,ortodoncista-cerca-de-mi-3-41001,ortodoncia,servicio,nucleo,municipio,41001,2026-09-05,ubersuggest,12m,36,2100,20
clinica de ortodoncia en Neiva,clinica-de-ortodoncia-4-41001,ortodoncia,servicio,nucleo,municipio,41001,2026-09-05,ubersuggest,12m,28,2400,24
ortodoncista en Popayán,ortodoncista-0-19001,ortodoncia,servicio,nucleo,municipio,19001,2026-09-05,ubersuggest,12m,60,1200,8
brackets precio en Popayán,brackets-precio-1-19001,ortodoncia,precio,nucleo,municipio,19001,2026-09-05,ubersuggest,12m,52,1500,12
ortodoncia invisible en Popayán,ortodoncia-invisible-2-19001,ortodoncia,servicio,nucleo,municipio,19001,2026-09-05,ubersuggest,12m,44,1800,16
ortodoncista cerca de mi en Popayán,ortodoncista-cerca-de-mi-3-19001,ortodoncia,servicio,nucleo,municipio,19001,2026-09-05,ubersuggest,12m,36,2100,20
clinica de ortodoncia en Popayán,clinica-de-ortodoncia-4-19001,ortodoncia,servicio,nucleo,municipio,19001,2026-09-05,ubersuggest,12m,28,2400,24
ortodoncista en Santa Marta,ortodoncista-0-47001,ortodoncia,servicio,nucleo,municipio,47001,2026-09-05,ubersuggest,12m,80,1200,8
brackets precio en Santa Marta,brackets-precio-1-47001,ortodoncia,precio,nucleo,municipio,47001,2026-09-05,ubersuggest,12m,68,1500,12
ortodoncia invisible en Santa Marta,ortodoncia-invisible-2-47001,ortodoncia,servicio,nucleo,municipio,47001,2026-09-05,ubersuggest,12m,56,1800,16
ortodoncista cerca de mi en Santa Marta,ortodoncista-cerca-de-mi-3-47001,ortodoncia,servicio,nucleo,municipio,47001,2026-09-05,ubersuggest,12m,44,2100,20
clinica de ortodoncia en Santa Marta,clinica-de-ortodoncia-4-47001,ortodoncia,servicio,nucleo,municipio,47001,2026-09-05,ubersuggest,12m,32,2400,24
ortodoncista en Villavicencio,ortodoncista-0-50001,ortodoncia,servicio,nucleo,municipio,50001,2026-09-05,ubersuggest,12m,85,1200,8
brackets precio en Villavicencio,brackets-precio-1-50001,ortodoncia,precio,nucleo,municipio,50001,2026-09-05,ubersuggest,12m,72,1500,12
ortodoncia invisible en Villavicencio,ortodoncia-invisible-2-50001,ortodoncia,servicio,nucleo,municipio,50001,2026-09-05,ubersuggest,12m,59,1800,16
ortodoncista cerca de mi en Villavicencio,ortodoncista-cerca-de-mi-3-50001,ortodoncia,servicio,nucleo,municipio,50001,2026-09-05,ubersuggest,12m,46,2100,20
clinica de ortodoncia en Villavicencio,clinica-de-ortodoncia-4-50001,ortodoncia,servicio,nucleo,municipio,50001,2026-09-05,ubersuggest,12m,33,2400,24
ortodoncista en Pereira,ortodoncista-0-66001,ortodoncia,servicio,nucleo,municipio,66001,2026-09-05,ubersuggest,12m,80,1200,8
brackets precio en Pereira,brackets-precio-1-66001,ortodoncia,precio,nucleo,municipio,66001,2026-09-05,ubersuggest,12m,68,1500,12
ortodoncia invisible en Pereira,ortodoncia-invisible-2-66001,ortodoncia,servicio,nucleo,municipio,66001,2026-09-05,ubersuggest,12m,56,1800,16
ortodoncista cerca de mi en Pereira,ortodoncista-cerca-de-mi-3-66001,ortodoncia,servicio,nucleo,municipio,66001,2026-09-05,ubersuggest,12m,44,2100,20
clinica de ortodoncia en Pereira,clinica-de-ortodoncia-4-66001,ortodoncia,servicio,nucleo,municipio,66001,2026-09-05,ubersuggest,12m,32,2400,24
ortodoncista en Manizales,ortodoncista-0-17001,ortodoncia,servicio,nucleo,municipio,17001,2026-09-05,ubersuggest,12m,70,1200,8
brackets precio en Manizales,brackets-precio-1-17001,ortodoncia,precio,nucleo,municipio,17001,2026-09-05,ubersuggest,12m,60,1500,12
ortodoncia invisible en Manizales,ortodoncia-invisible-2-17001,ortodoncia,servicio,nucleo,municipio,17001,2026-09-05,ubersuggest,12m,50,1800,16
ortodoncista cerca de mi en Manizales,ortodoncista-cerca-de-mi-3-17001,ortodoncia,servicio,nucleo,municipio,17001,2026-09-05,ubersuggest,12m,40,2100,20
clinica de ortodoncia en Manizales,clinica-de-ortodoncia-4-17001,ortodoncia,servicio,nucleo,municipio,17001,2026-09-05,ubersuggest,12m,30,2400,24
ortodoncista en Pasto,ortodoncista-0-52001,ortodoncia,servicio,nucleo,municipio,52001,2026-09-05,ubersuggest,12m,65,1200,8
brackets precio en Pasto,brackets-precio-1-52001,ortodoncia,precio,nucleo,municipio,52001,2026-09-05,ubersuggest,12m,56,1500,12
ortodoncia invisible en Pasto,ortodoncia-invisible-2-52001,ortodoncia,servicio,nucleo,municipio,52001,2026-09-05,ubersuggest,12m,47,1800,16
ortodoncista cerca de mi en Pasto,ortodoncista-cerca-de-mi-3-52001,ortodoncia,servicio,nucleo,municipio,52001,2026-09-05,ubersuggest,12m,38,2100,20
clinica de ortodoncia en Pasto,clinica-de-ortodoncia-4-52001,ortodoncia,servicio,nucleo,municipio,52001,2026-09-05,ubersuggest,12m,29,2400,24
ortodoncista en Cúcuta,ortodoncista-0-54001,ortodoncia,servicio,nucleo,municipio,54001,2026-09-05,ubersuggest,12m,115,1200,8
brackets precio en Cúcuta,brackets-precio-1-54001,ortodoncia,precio,nucleo,municipio,54001,2026-09-05,ubersuggest,12m,96,1500,12
ortodoncia invisible en Cúcuta,ortodoncia-invisible-2-54001,ortodoncia,servicio,nucleo,municipio,54001,2026-09-05,ubersuggest,12m,77,1800,16
ortodoncista cerca de mi en Cúcuta,ortodoncista-cerca-de-mi-3-54001,ortodoncia,servicio,nucleo,municipio,54001,2026-09-05,ubersuggest,12m,58,2100,20
clinica de ortodoncia en Cúcuta,clinica-de-ortodoncia-4-54001,ortodoncia,servicio,nucleo,municipio,54001,2026-09-05,ubersuggest,12m,39,2400,24
