consultorio_id,fecha_publicacion,calificacion,tiene_respuesta_del_negocio,dias_hasta_respuesta,fecha_captura
C-0052,2026-07-09,4,false,,2026-09-12
C-0052,2026-05-25,4,false,,2026-09-12
C-0065,2026-08-23,5,false,,2026-09-12
C-0065,2026-07-09,5,false,,2026-09-12
C-0065,2026-05-25,5,false,,2026-09-12
C-0066,2026-08-23,4,false,,2026-09-12
C-0066,2026-07-09,4,false,,2026-09-12
C-0066,2026-05-25,4,false,,2026-09-12
C-0069,2026-08-23,5,true,2,2026-09-12
C-0069,2026-07-09,5,true,2,2026-09-12
C-0069,2026-05-25,5,true,2,2026-09-12
C-0072,2026-08-23,5,true,2,2026-09-12
C-0072,2026-07-09,5,true,2,2026-09-12
C-0072,2026-05-25,5,true,2,2026-09-12
C-0074,2026-08-23,5,true,2,2026-09-12
C-0074,2026-07-09,5,true,2,2026-09-12
C-0074,2026-05-25,5,true,2,2026-09-12
C-0086,2026-08-23,4,false,,2026-09-12
C-0086,2026-07-09,4,false,,2026-09-12
C-0086,2026-05-25,4,false,,2026-09-12
C-0087,2026-08-23,4,false,,2026-09-12
C-0087,2026-07-09,4,false,,2026-09-12
C-0087,2026-05-25,4,false,,2026-09-12
C-0088,2026-08-23,5,true,2,2026-09-12
C-0088,2026-07-09,5,true,2,2026-09-12
C-0088,2026-05-25,5,true,2,2026-09-12
C-0089,2026-08-23,5,false,,2026-09-12
C-0089,2026-07-09,5,false,,2026-09-12
C-0089,2026-05-25,5,false,,2026-09-12
C-0090,2026-08-23,5,true,2,2026-09-12
C-0090,2026-07-09,5,true,2,2026-09-12
C-0090,2026-05-25,5,true,2,2026-09-12
C-0091,2026-08-23,5,true,2,2026-09-12
C-0091,2026-07-09,5,true,2,2026-09-12
C-0091,2026-05-25,5,true,2,2026-09-12
C-0093,2026-08-23,5,true,2,2026-09-12
C-0093,2026-07-09,5,true,2,2026-09-12
C-0093,2026-05-25,5,true,2,2026-09-12
C-0094,2026-08-23,4,false,,2026-09-12
C-0094,2026-07-09,4,false,,2026-09-12
C-0094,2026-05-25,4,false,,2026-09-12
C-0096,2026-08-23,5,true,2,2026-09-12
C-0096,2026-07-09,5,true,2,2026-09-12
C-0096,2026-05-25,5,true,2,2026-09-12
C-0098,2026-08-23,5,true,2,2026-09-12
C-0098,2026-07-09,5,true,2,2026-09-12
C-0098,2026-05-25,5,true,2,2026-09-12
C-0099,2026-08-23,4,false,,2026-09-12
C-0099,2026-07-09,4,false,,2026-09-12
C-0099,2026-05-25,4,false,,2026-09-12
C-0100,2026-08-23,5,true,2,2026-09-12
C-0100,2026-07-09,5,true,2,2026-09-12
C-0100,2026-05-25,5,true,2,2026-09-12
C-0102,2026-08-23,4,false,,2026-09-12
C-0102,2026-07-09,4,false,,2026-09-12
C-0102,2026-05-25,4,false,,2026-09-12
C-0106,2026-08-23,4,false,,2026-09-12
C-0106,2026-07-09,4,false,,2026-09-12
C-0106,2026-05-25,4,false,,2026-09-12
C-0107,2026-08-23,4,false,,2026-09-12
C-0107,2026-07-09,4,false,,2026-09-12
C-0107,2026-05-25,4,false,,2026-09-12
C-0110,2026-08-23,4,false,,2026-09-12
C-0110,2026-07-09,4,false,,2026-09-12
C-0110,2026-05-25,4,false,,2026-09-12
C-0115,2026-08-23,4,false,,2026-09-12
C-0115,2026-07-09,4,false,,2026-09-12
C-0115,2026-05-25,4,false,,2026-09-12
C-0117,2026-08-23,4,false,,2026-09-12
C-0117,2026-07-09,4,false,,2026-09-12
C-0117,2026-05-25,4,false,,2026-09-12
C-0118,2026-08-23,5,false,,2026-09-12
C-0118,2026-07-09,5,false,,2026-09-12
C-0118,2026-05-25,5,false,,2026-09-12
C-0119,2026-08-23,4,false,,2026-09-12
C-0119,2026-07-09,4,false,,2026-09-12
C-0119,2026-05-25,4,false,,2026-09-12
C-0121,2026-08-23,4,false,,2026-09-12
C-0121,2026-07-09,4,false,,2026-09-12
C-0121,2026-05-25,4,false,,2026-09-12
C-0122,2026-08-23,4,false,,2026-09-12
C-0122,2026-07-09,4,false,,2026-09-12
C-0122,2026-05-25,4,false,,2026-09-12
C-0123,2026-08-23,5,true,2,2026-09-12
C-0123,2026-07-09,5,true,2,2026-09-12
C-0123,2026-05-25,5,true,2,2026-09-12
C-0125,2026-08-23,5,true,2,2026-09-12
C-0125,2026-07-09,5,true,2,2026-09-12
C-0125,2026-05-25,5,true,2,2026-09-12
C-0126,2026-08-23,5,false,,2026-09-12
C-0126,2026-07-09,5,false,,2026-09-12
C-0126,2026-05-25,5,false,,2026-09-12
C-0128,2026-08-23,4,false,,2026-09-12
C-0128,2026-07-09,4,false,,2026-09-12
C-0128,2026-05-25,4,false,,2026-09-12
C-0129,2026-08-23,4,false,,2026-09-12
C-0129,2026-07-09,4,false,,2026-09-12
C-0129,2026-05-25,4,false,,2026-09-12
C-0130,2026-08-23,5,true,2,2026-09-12
C-0130,2026-07-09,5,true,2,2026-09-12
C-0130,2026-05-25,5,true,2,2026-09-12
C-0131,2026-08-23,5,false,,2026-09-12
C-0131,2026-07-09,5,false,,2026-09-12
C-0131,2026-05-25,5,false,,2026-09-12
C-0137,2026-08-23,5,true,2,2026-09-12
C-0137,2026-07-09,5,true,2,2026-09-12
C-0137,2026-05-25,5,true,2,2026-09-12
C-0141,2026-08-23,5,true,2,2026-09-12
C-0141,2026-07-09,5,true,2,2026-09-12
C-0141,2026-05-25,5,true,2,2026-09-12
C-0143,2026-08-23,5,true,2,2026-09-12
C-0143,2026-07-09,5,true,2,2026-09-12
C-0143,2026-05-25,5,true,2,2026-09-12
C-0146,2026-08-23,4,false,,2026-09-12
C-0146,2026-07-09,4,false,,2026-09-12
C-0146,2026-05-25,4,false,,2026-09-12
C-0147,2026-08-23,4,false,,2026-09-12
C-0147,2026-07-09,4,false,,2026-09-12
C-0147,2026-05-25,4,false,,2026-09-12
C-0149,2026-08-23,4,false,,2026-09-12
C-0149,2026-07-09,4,false,,2026-09-12
C-0149,2026-05-25,4,false,,2026-09-12
C-0150,2026-08-23,4,false,,2026-09-12
C-0150,2026-07-09,4,false,,2026-09-12
C-0150,2026-05-25,4,false,,2026-09-12
C-0155,2026-08-23,4,false,,2026-09-12
C-0155,2026-07-09,4,false,,2026-09-12
C-0155,2026-05-25,4,false,,2026-09-12
C-0156,2026-08-23,5,false,,2026-09-12
C-0156,2026-07-09,5,false,,2026-09-12
C-0156,2026-05-25,5,false,,2026-09-12
C-0159,2026-08-23,4,false,,2026-09-12
C-0159,2026-07-09,4,false,,2026-09-12
C-0159,2026-05-25,4,false,,2026-09-12
C-0160,2026-08-23,5,false,,2026-09-12
C-0160,2026-07-09,5,false,,2026-09-12
C-0160,2026-05-25,5,false,,2026-09-12
C-0161,2026-08-23,4,false,,2026-09-12
C-0161,2026-07-09,4,false,,2026-09-12
C-0161,2026-05-25,4,false,,2026-09-12
C-0162,2026-08-23,5,true,2,2026-09-12
C-0162,2026-07-09,5,true,2,2026-09-12
C-0162,2026-05-25,5,true,2,2026-09-12
C-0167,2026-08-23,4,false,,2026-09-12
C-0167,2026-07-09,4,false,,2026-09-12
C-0167,2026-05-25,4,false,,2026-09-12
C-0168,2026-08-23,5,true,2,2026-09-12
C-0168,2026-07-09,5,true,2,2026-09-12
C-0168,2026-05-25,5,true,2,2026-09-12
C-0172,2026-08-23,5,false,,2026-09-12
C-0172,2026-07-09,5,false,,2026-09-12
C-0172,2026-05-25,5,false,,2026-09-12
C-0173,2026-08-23,5,false,,2026-09-12
C-0173,2026-07-09,5,false,,2026-09-12
C-0173,2026-05-25,5,false,,2026-09-12
C-0174,2026-08-23,5,true,2,2026-09-12
C-0174,2026-07-09,5,true,2,2026-09-12
C-0174,2026-05-25,5,true,2,2026-09-12
C-0175,2026-08-23,5,false,,2026-09-12
C-0175,2026-07-09,5,false,,2026-09-12
C-0175,2026-05-25,5,false,,2026-09-12
C-0176,2026-08-23,4,false,,2026-09-12
C-0176,2026-07-09,4,false,,2026-09-12
C-0176,2026-05-25,4,false,,2026-09-12
C-0177,2026-08-23,5,true,2,2026-09-12
C-0177,2026-07-09,5,true,2,2026-09-12
C-0177,2026-05-25,5,true,2,2026-09-12
C-0178,2026-08-23,4,false,,2026-09-12
C-0178,2026-07-09,4,false,,2026-09-12
C-0178,2026-05-25,4,false,,2026-09-12
C-0180,2026-08-23,5,true,2,2026-09-12
C-0180,2026-07-09,5,true,2,2026-09-12
C-0180,2026-05-25,5,true,2,2026-09-12
C-0182,2026-08-23,4,false,,2026-09-12
C-0182,2026-07-09,4,false,,2026-09-12
C-0182,2026-05-25,4,false,,2026-09-12
C-0185,2026-08-23,5,true,2,2026-09-12
C-0185,2026-07-09,5,true,2,2026-09-12
C-0185,2026-05-25,5,true,2,2026-09-12
C-0187,2026-08-23,5,true,2,2026-09-12
C-0187,2026-07-09,5,true,2,2026-09-12
C-0187,2026-05-25,5,true,2,2026-09-12
C-0188,2026-08-23,4,false,,2026-09-12
C-0188,2026-07-09,4,false,,2026-09-12
C-0188,2026-05-25,4,false,,2026-09-12
C-0189,2026-08-23,5,true,2,2026-09-12
C-0189,2026-07-09,5,true,2,2026-09-12
C-0189,2026-05-25,5,true,2,2026-09-12
C-0192,2026-08-23,5,true,2,2026-09-12
C-0192,2026-07-09,5,true,2,2026-09-12
C-0192,2026-05-25,5,true,2,2026-09-12
C-0196,2026-08-23,4,false,,2026-09-12
C-0196,2026-07-09,4,false,,2026-09-12
C-0196,2026-05-25,4,false,,2026-09-12
C-0199,2026-08-23,5,false,,2026-09-12
C-0199,2026-07-09,5,false,,2026-09-12
C-0199,2026-05-25,5,false,,2026-09-12
