consultorio_id,directorio_id,fecha_captura,estado_perfil,existe,url_perfil,esta_reclamado,esta_verificado,calificacion,resenas_total,fecha_resena_mas_reciente,tiene_foto,tiene_horario,tiene_precio,servicios_n,nombre_perfil_crudo,metodo_emparejamiento,confianza_emparejamiento
C-0007,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0007,false,false,4.7,13,2026-03-25,false,false,true,6,Clínica Restrepo 007,nombre_telefono,0.96
C-0007,topdoctors,2026-08-20,bloqueado,,,,,,,,,,,,,no_emparejado,
C-0008,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0008,true,true,4.5,20,2026-02-25,true,false,false,6,Consultorio Villegas 008,nombre_telefono,0.81
C-0008,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0008,true,false,4.5,20,2026-03-25,true,false,false,5,Consultorio Villegas 008,nombre_telefono,0.94
C-0009,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0009,true,true,4.6,30,2026-04-15,true,true,false,6,Ortodoncia Cadavid 009,nombre_telefono,0.83
C-0009,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0009,true,true,4.5,23,2026-03-24,true,true,false,0,Ortodoncia Cadavid 009,nombre_telefono,0.80
C-0010,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0010,true,false,5.0,26,2026-07-13,true,false,true,11,Centro Mejía 010,nombre_telefono,0.98
C-0010,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0010,true,true,4.7,31,2026-03-22,true,true,false,6,Centro Mejía 010,nombre_telefono,0.94
C-0011,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0011,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0012,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0012,true,false,4.3,0,2026-03-19,true,true,true,1,Clínica Arboleda 012,nombre_telefono,0.89
C-0012,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0013,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0013,true,true,4.9,28,2026-06-11,true,false,false,7,Ortodoncia Sanmiguel 013,nombre_telefono,0.93
C-0013,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0013,true,false,4.6,31,2026-02-14,true,true,true,7,Ortodoncia Sanmiguel 013,nombre_telefono,0.94
C-0014,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0014,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0015,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0015,false,false,4.8,43,2026-06-23,false,false,true,7,Consultorio Echeverri 015,nombre_telefono,0.96
C-0015,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0015,true,false,4.8,39,2026-05-27,true,true,true,11,Consultorio Echeverri 015,nombre_telefono,0.81
C-0016,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0016,true,true,4.8,23,2026-05-23,false,true,false,10,Clínica Betancur 016,nombre_telefono,0.93
C-0016,topdoctors,2026-08-20,bloqueado,,,,,,,,,,,,,no_emparejado,
C-0017,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0017,true,false,4.5,29,2026-06-15,false,true,false,5,Ortodoncia Zapata 017,nombre_telefono,0.92
C-0017,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0017,true,true,4.7,21,2026-05-18,true,false,false,3,Ortodoncia Zapata 017,nombre_telefono,0.80
C-0018,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0018,false,false,4.7,22,2026-08-12,false,false,false,6,Centro Ocampo 018,nombre_telefono,0.82
C-0018,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0018,false,false,4.7,26,2026-03-10,false,false,false,4,Centro Ocampo 018,nombre_telefono,0.80
C-0019,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0019,true,true,4.6,22,2026-06-13,true,false,false,9,Clínica Restrepo 019,nombre_telefono,0.96
C-0019,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0019,false,false,4.8,22,2026-06-15,false,false,false,6,Clínica Restrepo 019,nombre_telefono,0.90
C-0020,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0020,true,true,4.6,14,2026-07-13,true,true,false,3,Consultorio Villegas 020,nombre_telefono,0.88
C-0020,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0020,true,false,4.9,14,2026-01-17,false,true,false,4,Consultorio Villegas 020,nombre_telefono,0.82
C-0021,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0021,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0022,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0022,true,true,4.6,30,2026-02-24,true,true,false,7,Centro Mejía 022,nombre_telefono,0.98
C-0022,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0022,true,true,4.9,28,2026-01-17,false,true,false,4,Centro Mejía 022,nombre_telefono,0.92
C-0023,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0023,true,true,4.8,43,2026-08-21,false,true,false,8,Clínica Uribe 023,nombre_telefono,0.85
C-0023,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0023,true,false,4.9,42,2026-07-26,true,true,true,6,Clínica Uribe 023,nombre_telefono,0.83
C-0024,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0024,false,false,4.1,8,2026-05-23,false,false,false,1,Clínica Arboleda 024,nombre_telefono,0.84
C-0024,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0025,doctoralia,2026-08-20,bloqueado,,,,,,,,,,,,,no_emparejado,
C-0025,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0026,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0026,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0027,doctoralia,2026-08-20,bloqueado,,,,,,,,,,,,,no_emparejado,
C-0027,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0027,true,true,5.0,24,2026-03-13,true,true,false,7,Consultorio Echeverri 027,nombre_telefono,0.81
C-0028,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0028,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0029,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0029,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0030,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0030,false,false,4.8,37,2026-02-27,false,false,false,8,Centro Ocampo 030,nombre_telefono,0.86
C-0030,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0030,true,false,5.0,38,2026-03-12,true,true,false,8,Centro Ocampo 030,nombre_telefono,0.90
C-0031,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0031,false,false,4.5,11,2026-04-23,false,false,false,3,Clínica Restrepo 031,nombre_telefono,0.95
C-0031,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0032,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0032,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0033,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0033,true,true,4.4,20,2026-02-24,true,false,false,8,Ortodoncia Cadavid 033,nombre_telefono,0.84
C-0033,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0033,false,false,4.9,26,2026-02-16,false,false,false,7,Ortodoncia Cadavid 033,nombre_telefono,0.98
C-0034,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0034,true,true,4.9,28,2026-03-19,false,true,true,4,Centro Mejía 034,nombre_telefono,0.80
C-0034,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0034,true,false,4.9,33,2026-03-15,true,true,false,6,Centro Mejía 034,nombre_telefono,0.94
C-0035,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0035,false,false,4.9,37,2026-01-15,false,false,false,8,Clínica Uribe 035,nombre_telefono,0.82
C-0035,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0035,true,true,4.9,34,2026-05-14,true,true,false,4,Clínica Uribe 035,nombre_telefono,0.87
C-0036,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0036,false,false,4.3,14,2026-01-28,false,false,false,3,Clínica Arboleda 036,nombre_telefono,0.92
C-0036,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0037,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0037,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0038,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0038,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0039,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0039,true,false,4.7,26,2026-04-20,true,true,false,10,Consultorio Echeverri 039,nombre_telefono,0.93
C-0039,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0039,true,false,4.9,30,2026-08-22,true,true,false,8,Consultorio Echeverri 039,nombre_telefono,0.98
C-0040,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0040,true,false,4.7,28,2026-08-16,true,true,false,7,Clínica Betancur 040,nombre_telefono,0.91
C-0040,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0040,true,true,4.5,16,2026-01-14,true,true,false,3,Clínica Betancur 040,nombre_telefono,0.96
C-0041,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0041,true,true,4.3,14,2026-04-10,true,true,false,4,Ortodoncia Zapata 041,nombre_telefono,0.80
C-0041,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0041,false,false,4.3,28,2026-07-25,false,false,true,2,Ortodoncia Zapata 041,nombre_telefono,0.98
C-0042,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0042,true,false,4.7,22,2026-04-14,true,true,false,8,Centro Ocampo 042,nombre_telefono,0.84
C-0042,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0042,true,false,4.5,27,2026-03-14,false,true,false,6,Centro Ocampo 042,nombre_telefono,0.82
C-0043,doctoralia,2026-08-20,bloqueado,,,,,,,,,,,,,no_emparejado,
C-0043,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0043,true,true,4.4,19,2026-03-14,true,true,false,6,Clínica Restrepo 043,nombre_telefono,0.96
C-0044,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0044,true,true,4.8,31,2026-08-22,true,true,true,11,Consultorio Villegas 044,nombre_telefono,0.91
C-0044,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0044,true,false,5.0,30,2026-07-23,true,true,true,8,Consultorio Villegas 044,nombre_telefono,0.82
C-0045,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0045,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0046,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0046,false,false,4.6,19,2026-02-17,false,false,false,8,Centro Mejía 046,nombre_telefono,0.95
C-0046,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0046,true,true,4.7,27,2026-08-20,true,true,true,5,Centro Mejía 046,nombre_telefono,0.85
C-0047,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0047,true,false,4.3,16,2026-06-21,true,true,true,6,Clínica Uribe 047,nombre_telefono,0.90
C-0047,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0048,doctoralia,2026-08-20,bloqueado,,,,,,,,,,,,,no_emparejado,
C-0048,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0048,true,false,4.7,30,2026-07-25,true,false,false,5,Clínica Arboleda 048,nombre_telefono,0.97
C-0049,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0049,true,true,4.7,27,2026-05-15,true,true,false,7,Ortodoncia Sanmiguel 049,nombre_telefono,0.83
C-0049,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0049,true,true,4.5,21,2026-03-24,true,true,true,6,Ortodoncia Sanmiguel 049,nombre_telefono,0.86
C-0050,doctoralia,2026-08-20,bloqueado,,,,,,,,,,,,,no_emparejado,
C-0050,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0051,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0051,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0052,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0052,false,false,4.3,18,2026-05-19,false,false,true,4,Clínica Betancur 052,nombre_telefono,0.81
C-0052,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0053,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0053,false,false,4.2,19,2026-06-15,false,false,false,4,Ortodoncia Zapata 053,nombre_telefono,0.93
C-0053,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0053,false,false,4.3,10,2026-05-21,false,false,false,3,Ortodoncia Zapata 053,nombre_telefono,0.80
C-0054,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0054,true,true,5.0,30,2026-06-13,true,false,false,9,Centro Ocampo 054,nombre_telefono,0.83
C-0054,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0054,true,true,5.0,37,2026-04-16,true,false,true,4,Centro Ocampo 054,nombre_telefono,0.91
C-0055,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0055,true,true,4.3,23,2026-01-12,true,false,false,4,Clínica Restrepo 055,nombre_telefono,0.89
C-0055,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0055,true,false,4.5,21,2026-03-15,true,false,false,2,Clínica Restrepo 055,nombre_telefono,0.85
C-0056,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0056,true,true,4.5,10,2026-06-15,true,true,false,5,Consultorio Villegas 056,nombre_telefono,0.90
C-0056,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0056,false,false,4.5,16,2026-07-22,false,false,false,7,Consultorio Villegas 056,nombre_telefono,0.80
C-0057,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0057,true,false,4.5,2,2026-05-20,false,true,false,5,Ortodoncia Cadavid 057,nombre_telefono,0.79
C-0057,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0058,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0058,false,false,4.6,21,2026-05-17,false,false,false,6,Centro Mejía 058,nombre_telefono,0.96
C-0058,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0058,false,false,4.6,22,2026-02-23,false,false,false,8,Centro Mejía 058,nombre_telefono,0.80
C-0059,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0059,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0060,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0060,false,false,4.6,14,2026-03-18,false,false,false,5,Clínica Arboleda 060,nombre_telefono,0.86
C-0060,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0061,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0061,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0062,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0062,true,true,4.4,10,2026-04-22,true,false,true,2,Centro Valderrama 062,nombre_telefono,0.90
C-0062,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0063,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0063,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0064,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0064,true,true,4.6,35,2026-06-21,true,true,false,7,Clínica Betancur 064,nombre_telefono,0.95
C-0064,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0064,false,false,5.0,22,2026-01-15,false,false,true,9,Clínica Betancur 064,nombre_telefono,0.94
C-0065,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0065,true,true,4.1,15,2026-07-15,true,true,false,6,Ortodoncia Zapata 065,nombre_telefono,0.79
C-0065,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0065,true,true,4.8,22,2026-01-15,true,true,false,4,Ortodoncia Zapata 065,nombre_telefono,0.81
C-0066,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0066,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0067,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0067,true,false,4.9,43,2026-01-23,true,true,true,10,Clínica Restrepo 067,nombre_telefono,0.96
C-0067,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0067,true,true,4.8,24,2026-07-21,true,true,false,8,Clínica Restrepo 067,nombre_telefono,0.90
C-0068,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0068,true,true,4.8,32,2026-07-10,false,false,false,9,Consultorio Villegas 068,nombre_telefono,0.97
C-0068,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0068,false,false,4.6,24,2026-08-20,false,false,false,9,Consultorio Villegas 068,nombre_telefono,0.92
C-0069,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0069,true,true,4.6,24,2026-07-27,true,true,false,6,Ortodoncia Cadavid 069,nombre_telefono,0.85
C-0069,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0069,true,true,4.5,24,2026-04-16,true,true,false,7,Ortodoncia Cadavid 069,nombre_telefono,0.82
C-0070,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0070,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0071,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0071,false,false,4.4,36,2026-01-13,false,false,true,7,Clínica Uribe 071,nombre_telefono,0.82
C-0071,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0071,false,false,4.7,23,2026-05-16,false,false,true,8,Clínica Uribe 071,nombre_telefono,0.88
C-0072,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0072,true,true,5.0,35,2026-02-26,false,true,false,8,Clínica Arboleda 072,nombre_telefono,0.85
C-0072,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0072,true,true,4.8,35,2026-08-24,true,true,false,8,Clínica Arboleda 072,nombre_telefono,0.90
C-0073,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0073,false,false,4.2,18,2026-04-17,false,false,false,2,Ortodoncia Sanmiguel 073,nombre_telefono,0.85
C-0073,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0073,false,false,4.3,19,2026-05-23,false,false,false,1,Ortodoncia Sanmiguel 073,nombre_telefono,0.92
C-0074,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0074,true,false,4.0,16,2026-03-26,false,false,false,8,Centro Valderrama 074,nombre_telefono,0.79
C-0074,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0075,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0075,false,false,4.9,32,2026-07-10,false,false,false,10,Consultorio Echeverri 075,nombre_telefono,0.80
C-0075,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0075,false,false,4.7,35,2026-02-25,false,false,true,6,Consultorio Echeverri 075,nombre_telefono,0.89
C-0076,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0076,false,false,4.7,34,2026-03-28,false,false,true,8,Clínica Betancur 076,nombre_telefono,0.90
C-0076,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0076,true,true,4.7,23,2026-07-17,true,true,true,11,Clínica Betancur 076,nombre_telefono,0.80
C-0077,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0077,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0078,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0078,false,false,4.7,9,2026-05-27,false,false,false,5,Centro Ocampo 078,nombre_telefono,0.91
C-0078,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0078,false,false,4.4,21,2026-06-14,false,false,false,8,Centro Ocampo 078,nombre_telefono,0.78
C-0079,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0079,true,true,4.9,29,2026-01-27,true,true,false,10,Clínica Restrepo 079,nombre_telefono,0.81
C-0079,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0079,true,true,4.8,30,2026-04-13,false,false,false,5,Clínica Restrepo 079,nombre_telefono,0.86
C-0080,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0080,false,false,4.5,23,2026-03-24,false,false,true,7,Consultorio Villegas 080,nombre_telefono,0.86
C-0080,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0080,true,false,4.6,27,2026-05-23,true,true,false,7,Consultorio Villegas 080,nombre_telefono,0.96
C-0081,doctoralia,2026-08-20,bloqueado,,,,,,,,,,,,,no_emparejado,
C-0081,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0082,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0082,false,false,4.4,1,2026-02-28,false,false,false,3,Centro Mejía 082,nombre_telefono,0.87
C-0082,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0083,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0083,false,false,4.1,14,2026-08-10,false,false,false,0,Clínica Uribe 083,nombre_telefono,0.95
C-0083,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0084,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0084,true,false,4.9,24,2026-05-21,true,false,false,5,Clínica Arboleda 084,nombre_telefono,0.83
C-0084,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0084,false,false,5.0,34,2026-02-23,false,false,false,10,Clínica Arboleda 084,nombre_telefono,0.83
C-0085,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0085,true,false,4.4,16,2026-01-12,true,true,false,5,Ortodoncia Sanmiguel 085,nombre_telefono,0.79
C-0085,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0086,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0086,true,true,4.7,21,2026-02-26,true,false,false,6,Centro Valderrama 086,nombre_telefono,0.91
C-0086,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0086,false,false,4.5,17,2026-04-11,false,false,false,7,Centro Valderrama 086,nombre_telefono,0.90
C-0087,doctoralia,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0087,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0088,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0088,true,false,4.5,28,2026-04-16,true,true,false,4,Clínica Betancur 088,nombre_telefono,0.85
C-0088,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0088,true,false,4.5,25,2026-06-19,true,true,false,6,Clínica Betancur 088,nombre_telefono,0.79
C-0089,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0089,true,true,4.3,24,2026-06-19,true,true,false,0,Ortodoncia Zapata 089,nombre_telefono,0.92
C-0089,topdoctors,2026-08-20,sin_perfil,false,,,,,,,,,,,,no_emparejado,
C-0090,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0090,false,false,4.8,35,2026-07-20,false,false,true,8,Centro Ocampo 090,nombre_telefono,0.96
C-0090,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0090,true,false,4.7,31,2026-08-27,true,true,false,10,Centro Ocampo 090,nombre_telefono,0.87
C-0091,doctoralia,2026-08-20,ok,true,https://www.doctoralia.co/p/C-0091,false,false,4.7,10,2026-07-22,false,false,false,7,Clínica Restrepo 091,nombre_telefono,0.82
C-0091,topdoctors,2026-08-20,ok,true,https://www.topdoctors.com.co/p/C-0091,false,false,4.6,29,2026-08-19,false,false,false,5,Clínica Restrepo 091,nombre_telefono,0.96
