consultorio_id,dominio,fecha_rastreo,estado_rastreo,tiene_reserva_online,tiene_pago_en_linea,es_movil_responsive,plataforma_agenda_detectada
C-0164,fix164.co,2026-09-13,ok,false,false,true,ninguno
C-0165,fix165.co,2026-09-13,ok,false,false,true,ninguno
C-0167,fix167.co,2026-09-13,ok,false,false,true,ninguno
C-0168,fix168.co,2026-09-13,ok,false,false,true,ninguno
C-0170,fix170.co,2026-09-13,ok,false,false,true,ninguno
C-0171,fix171.co,2026-09-13,ok,false,false,true,ninguno
C-0172,fix172.co,2026-09-13,ok,false,false,true,ninguno
C-0173,fix173.co,2026-09-13,ok,false,false,true,ninguno
C-0174,fix174.co,2026-09-13,ok,true,false,true,agendapro
C-0175,fix175.co,2026-09-13,ok,false,false,true,ninguno
C-0177,fix177.co,2026-09-13,error_dns,,,,
C-0178,fix178.co,2026-09-13,ok,false,false,true,ninguno
C-0179,fix179.co,2026-09-13,timeout,,,,
C-0180,fix180.co,2026-09-13,ok,false,false,true,ninguno
C-0181,fix181.co,2026-09-13,ok,true,true,true,dentalink
C-0183,fix183.co,2026-09-13,ok,false,false,true,ninguno
C-0185,fix185.co,2026-09-13,ok,false,false,true,ninguno
C-0186,fix186.co,2026-09-13,ok,false,false,true,ninguno
C-0187,fix187.co,2026-09-13,ok,true,true,true,dentalink
C-0189,fix189.co,2026-09-13,ok,true,true,true,dentalink
C-0190,fix190.co,2026-09-13,ok,true,false,true,agendapro
C-0191,fix191.co,2026-09-13,ok,true,true,true,agendapro
C-0192,fix192.co,2026-09-13,ok,true,true,true,dentalink
C-0194,fix194.co,2026-09-13,error_dns,,,,
C-0197,fix197.co,2026-09-13,ok,false,false,true,ninguno
C-0199,fix199.co,2026-09-13,ok,false,false,true,ninguno
C-0200,fix200.co,2026-09-13,ok,false,false,false,ninguno
