consulta_texto,consulta_normalizada,municipio_id,fecha_consulta,dispositivo,bloque,posicion,nombre_resultado_crudo,consultorio_id,metodo_emparejamiento,confianza_emparejamiento
ortodoncia invisible en Santa Marta,ortodoncia-invisible-2-47001,47001,2026-09-11,movil,paquete_local,3,Ortodoncia Zapata 113,C-0113,place_id,1.0
ortodoncista cerca de mi en Santa Marta,ortodoncista-cerca-de-mi-3-47001,47001,2026-09-11,movil,paquete_local,1,Clínica Betancur 112,C-0112,place_id,1.0
ortodoncista cerca de mi en Santa Marta,ortodoncista-cerca-de-mi-3-47001,47001,2026-09-11,movil,paquete_local,2,Ortodoncia Zapata 113,C-0113,place_id,1.0
ortodoncista cerca de mi en Santa Marta,ortodoncista-cerca-de-mi-3-47001,47001,2026-09-11,movil,paquete_local,3,Ortodoncia Sanmiguel 109,C-0109,place_id,1.0
clinica de ortodoncia en Santa Marta,clinica-de-ortodoncia-4-47001,47001,2026-09-11,movil,paquete_local,1,Clínica Betancur 112,C-0112,place_id,1.0
clinica de ortodoncia en Santa Marta,clinica-de-ortodoncia-4-47001,47001,2026-09-11,movil,paquete_local,2,Consultorio Echeverri 111,C-0111,place_id,1.0
clinica de ortodoncia en Santa Marta,clinica-de-ortodoncia-4-47001,47001,2026-09-11,movil,paquete_local,3,Clínica Arboleda 120,C-0120,place_id,1.0
ortodoncista en Villavicencio,ortodoncista-0-50001,50001,2026-09-11,movil,paquete_local,1,Consultorio Echeverri 135,C-0135,place_id,1.0
ortodoncista en Villavicencio,ortodoncista-0-50001,50001,2026-09-11,movil,paquete_local,2,Centro Mejía 130,C-0130,place_id,1.0
ortodoncista en Villavicencio,ortodoncista-0-50001,50001,2026-09-11,movil,paquete_local,3,Ortodoncia Zapata 125,C-0125,place_id,1.0
brackets precio en Villavicencio,brackets-precio-1-50001,50001,2026-09-11,movil,paquete_local,1,Consultorio Echeverri 135,C-0135,place_id,1.0
brackets precio en Villavicencio,brackets-precio-1-50001,50001,2026-09-11,movil,paquete_local,2,Clínica Betancur 136,C-0136,place_id,1.0
brackets precio en Villavicencio,brackets-precio-1-50001,50001,2026-09-11,movil,paquete_local,3,Centro Mejía 130,C-0130,place_id,1.0
ortodoncia invisible en Villavicencio,ortodoncia-invisible-2-50001,50001,2026-09-11,movil,paquete_local,1,Consultorio Echeverri 123,C-0123,place_id,1.0
ortodoncia invisible en Villavicencio,ortodoncia-invisible-2-50001,50001,2026-09-11,movil,paquete_local,2,Centro Valderrama 134,C-0134,place_id,1.0
ortodoncia invisible en Villavicencio,ortodoncia-invisible-2-50001,50001,2026-09-11,movil,paquete_local,3,Ortodoncia Zapata 125,C-0125,place_id,1.0
ortodoncista cerca de mi en Villavicencio,ortodoncista-cerca-de-mi-3-50001,50001,2026-09-11,movil,paquete_local,1,Centro Mejía 130,C-0130,place_id,1.0
ortodoncista cerca de mi en Villavicencio,ortodoncista-cerca-de-mi-3-50001,50001,2026-09-11,movil,paquete_local,2,Centro Valderrama 134,C-0134,place_id,1.0
ortodoncista cerca de mi en Villavicencio,ortodoncista-cerca-de-mi-3-50001,50001,2026-09-11,movil,paquete_local,3,Consultorio Echeverri 135,C-0135,place_id,1.0
clinica de ortodoncia en Villavicencio,clinica-de-ortodoncia-4-50001,50001,2026-09-11,movil,paquete_local,1,Centro Mejía 130,C-0130,place_id,1.0
clinica de ortodoncia en Villavicencio,clinica-de-ortodoncia-4-50001,50001,2026-09-11,movil,paquete_local,2,Clínica Betancur 124,C-0124,place_id,1.0
clinica de ortodoncia en Villavicencio,clinica-de-ortodoncia-4-50001,50001,2026-09-11,movil,paquete_local,3,Consultorio Echeverri 123,C-0123,place_id,1.0
ortodoncista en Pereira,ortodoncista-0-66001,66001,2026-09-11,movil,paquete_local,1,Ortodoncia Zapata 137,C-0137,place_id,1.0
ortodoncista en Pereira,ortodoncista-0-66001,66001,2026-09-11,movil,paquete_local,2,Clínica Uribe 143,C-0143,place_id,1.0
ortodoncista en Pereira,ortodoncista-0-66001,66001,2026-09-11,movil,paquete_local,3,Ortodoncia Cadavid 141,C-0141,place_id,1.0
brackets precio en Pereira,brackets-precio-1-66001,66001,2026-09-11,movil,paquete_local,1,Ortodoncia Zapata 137,C-0137,place_id,1.0
brackets precio en Pereira,brackets-precio-1-66001,66001,2026-09-11,movil,paquete_local,2,Centro Ocampo 138,C-0138,place_id,1.0
brackets precio en Pereira,brackets-precio-1-66001,66001,2026-09-11,movil,paquete_local,3,Clínica Betancur 148,C-0148,place_id,1.0
ortodoncia invisible en Pereira,ortodoncia-invisible-2-66001,66001,2026-09-11,movil,paquete_local,1,Clínica Uribe 143,C-0143,place_id,1.0
ortodoncia invisible en Pereira,ortodoncia-invisible-2-66001,66001,2026-09-11,movil,paquete_local,2,Ortodoncia Zapata 137,C-0137,place_id,1.0
ortodoncia invisible en Pereira,ortodoncia-invisible-2-66001,66001,2026-09-11,movil,paquete_local,3,Centro Ocampo 138,C-0138,place_id,1.0
ortodoncista cerca de mi en Pereira,ortodoncista-cerca-de-mi-3-66001,66001,2026-09-11,movil,paquete_local,1,Centro Ocampo 138,C-0138,place_id,1.0
ortodoncista cerca de mi en Pereira,ortodoncista-cerca-de-mi-3-66001,66001,2026-09-11,movil,paquete_local,2,Consultorio Villegas 152,C-0152,place_id,1.0
ortodoncista cerca de mi en Pereira,ortodoncista-cerca-de-mi-3-66001,66001,2026-09-11,movil,paquete_local,3,Ortodoncia Zapata 137,C-0137,place_id,1.0
clinica de ortodoncia en Pereira,clinica-de-ortodoncia-4-66001,66001,2026-09-11,movil,paquete_local,1,Ortodoncia Zapata 137,C-0137,place_id,1.0
clinica de ortodoncia en Pereira,clinica-de-ortodoncia-4-66001,66001,2026-09-11,movil,paquete_local,2,Centro Ocampo 138,C-0138,place_id,1.0
clinica de ortodoncia en Pereira,clinica-de-ortodoncia-4-66001,66001,2026-09-11,movil,paquete_local,3,Consultorio Villegas 152,C-0152,place_id,1.0
ortodoncista en Manizales,ortodoncista-0-17001,17001,2026-09-11,movil,paquete_local,1,Centro Ocampo 162,C-0162,place_id,1.0
ortodoncista en Manizales,ortodoncista-0-17001,17001,2026-09-11,movil,paquete_local,2,Centro Valderrama 158,C-0158,place_id,1.0
ortodoncista en Manizales,ortodoncista-0-17001,17001,2026-09-11,movil,paquete_local,3,Clínica Arboleda 168,C-0168,place_id,1.0
brackets precio en Manizales,brackets-precio-1-17001,17001,2026-09-11,movil,paquete_local,1,Clínica Betancur 160,C-0160,place_id,1.0
brackets precio en Manizales,brackets-precio-1-17001,17001,2026-09-11,movil,paquete_local,2,Centro Ocampo 162,C-0162,place_id,1.0
brackets precio en Manizales,brackets-precio-1-17001,17001,2026-09-11,movil,paquete_local,3,Centro Valderrama 158,C-0158,place_id,1.0
ortodoncia invisible en Manizales,ortodoncia-invisible-2-17001,17001,2026-09-11,movil,paquete_local,1,Clínica Betancur 160,C-0160,place_id,1.0
ortodoncia invisible en Manizales,ortodoncia-invisible-2-17001,17001,2026-09-11,movil,paquete_local,2,Centro Ocampo 162,C-0162,place_id,1.0
ortodoncia invisible en Manizales,ortodoncia-invisible-2-17001,17001,2026-09-11,movil,paquete_local,3,Centro Valderrama 158,C-0158,place_id,1.0
ortodoncista cerca de mi en Manizales,ortodoncista-cerca-de-mi-3-17001,17001,2026-09-11,movil,paquete_local,1,Centro Ocampo 162,C-0162,place_id,1.0
ortodoncista cerca de mi en Manizales,ortodoncista-cerca-de-mi-3-17001,17001,2026-09-11,movil,paquete_local,2,Clínica Arboleda 168,C-0168,place_id,1.0
ortodoncista cerca de mi en Manizales,ortodoncista-cerca-de-mi-3-17001,17001,2026-09-11,movil,paquete_local,3,Centro Valderrama 158,C-0158,place_id,1.0
clinica de ortodoncia en Manizales,clinica-de-ortodoncia-4-17001,17001,2026-09-11,movil,paquete_local,1,Centro Ocampo 162,C-0162,place_id,1.0
clinica de ortodoncia en Manizales,clinica-de-ortodoncia-4-17001,17001,2026-09-11,movil,paquete_local,2,Clínica Arboleda 156,C-0156,place_id,1.0
clinica de ortodoncia en Manizales,clinica-de-ortodoncia-4-17001,17001,2026-09-11,movil,paquete_local,3,Clínica Arboleda 168,C-0168,place_id,1.0
ortodoncista en Pasto,ortodoncista-0-52001,52001,2026-09-11,movil,paquete_local,1,Ortodoncia Sanmiguel 181,C-0181,place_id,1.0
ortodoncista en Pasto,ortodoncista-0-52001,52001,2026-09-11,movil,paquete_local,2,Ortodoncia Cadavid 177,C-0177,place_id,1.0
ortodoncista en Pasto,ortodoncista-0-52001,52001,2026-09-11,movil,paquete_local,3,Consultorio Echeverri 171,C-0171,place_id,1.0
brackets precio en Pasto,brackets-precio-1-52001,52001,2026-09-11,movil,paquete_local,1,Ortodoncia Cadavid 177,C-0177,place_id,1.0
brackets precio en Pasto,brackets-precio-1-52001,52001,2026-09-11,movil,paquete_local,2,Ortodoncia Sanmiguel 181,C-0181,place_id,1.0
brackets precio en Pasto,brackets-precio-1-52001,52001,2026-09-11,movil,paquete_local,3,Centro Ocampo 174,C-0174,place_id,1.0
ortodoncia invisible en Pasto,ortodoncia-invisible-2-52001,52001,2026-09-11,movil,paquete_local,1,Ortodoncia Cadavid 177,C-0177,place_id,1.0
ortodoncia invisible en Pasto,ortodoncia-invisible-2-52001,52001,2026-09-11,movil,paquete_local,2,Ortodoncia Sanmiguel 181,C-0181,place_id,1.0
ortodoncia invisible en Pasto,ortodoncia-invisible-2-52001,52001,2026-09-11,movil,paquete_local,3,Centro Ocampo 174,C-0174,place_id,1.0
ortodoncista cerca de mi en Pasto,ortodoncista-cerca-de-mi-3-52001,52001,2026-09-11,movil,paquete_local,1,Ortodoncia Sanmiguel 181,C-0181,place_id,1.0
ortodoncista cerca de mi en Pasto,ortodoncista-cerca-de-mi-3-52001,52001,2026-09-11,movil,paquete_local,2,Centro Ocampo 174,C-0174,place_id,1.0
ortodoncista cerca de mi en Pasto,ortodoncista-cerca-de-mi-3-52001,52001,2026-09-11,movil,paquete_local,3,Ortodoncia Cadavid 177,C-0177,place_id,1.0
clinica de ortodoncia en Pasto,clinica-de-ortodoncia-4-52001,52001,2026-09-11,movil,paquete_local,1,Ortodoncia Sanmiguel 181,C-0181,place_id,1.0
clinica de ortodoncia en Pasto,clinica-de-ortodoncia-4-52001,52001,2026-09-11,movil,paquete_local,2,Centro Ocampo 174,C-0174,place_id,1.0
clinica de ortodoncia en Pasto,clinica-de-ortodoncia-4-52001,52001,2026-09-11,movil,paquete_local,3,Ortodoncia Cadavid 177,C-0177,place_id,1.0
ortodoncista en Cúcuta,ortodoncista-0-54001,54001,2026-09-11,movil,paquete_local,1,Clínica Uribe 191,C-0191,place_id,1.0
ortodoncista en Cúcuta,ortodoncista-0-54001,54001,2026-09-11,movil,paquete_local,2,Clínica Restrepo 187,C-0187,place_id,1.0
ortodoncista en Cúcuta,ortodoncista-0-54001,54001,2026-09-11,movil,paquete_local,3,Clínica Arboleda 192,C-0192,place_id,1.0
brackets precio en Cúcuta,brackets-precio-1-54001,54001,2026-09-11,movil,paquete_local,1,Clínica Uribe 191,C-0191,place_id,1.0
brackets precio en Cúcuta,brackets-precio-1-54001,54001,2026-09-11,movil,paquete_local,2,Clínica Restrepo 187,C-0187,place_id,1.0
brackets precio en Cúcuta,brackets-precio-1-54001,54001,2026-09-11,movil,paquete_local,3,Ortodoncia Cadavid 189,C-0189,place_id,1.0
ortodoncia invisible en Cúcuta,ortodoncia-invisible-2-54001,54001,2026-09-11,movil,paquete_local,1,Clínica Restrepo 187,C-0187,place_id,1.0
ortodoncia invisible en Cúcuta,ortodoncia-invisible-2-54001,54001,2026-09-11,movil,paquete_local,2,Clínica Arboleda 192,C-0192,place_id,1.0
ortodoncia invisible en Cúcuta,ortodoncia-invisible-2-54001,54001,2026-09-11,movil,paquete_local,3,Centro Mejía 190,C-0190,place_id,1.0
ortodoncista cerca de mi en Cúcuta,ortodoncista-cerca-de-mi-3-54001,54001,2026-09-11,movil,paquete_local,1,Clínica Arboleda 192,C-0192,place_id,1.0
ortodoncista cerca de mi en Cúcuta,ortodoncista-cerca-de-mi-3-54001,54001,2026-09-11,movil,paquete_local,2,Clínica Restrepo 187,C-0187,place_id,1.0
ortodoncista cerca de mi en Cúcuta,ortodoncista-cerca-de-mi-3-54001,54001,2026-09-11,movil,paquete_local,3,Centro Mejía 190,C-0190,place_id,1.0
clinica de ortodoncia en Cúcuta,clinica-de-ortodoncia-4-54001,54001,2026-09-11,movil,paquete_local,1,Clínica Restrepo 187,C-0187,place_id,1.0
