consultorio_id,edicion_id,guion_id,canal,emisor_id,enviado_en,dia_semana,franja_horaria,estado_envio,minutos_primera_respuesta,hubo_respuesta,tipo_primer_respondedor,ofrecio_agendar,dio_precio,hubo_seguimiento_espontaneo,codificado_por,codificado_en,version_codificacion,excluido_del_analisis,motivo_exclusion
C-0038,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,5,mediodia,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0039,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,1,tarde,entregado,6,true,automatico,no_observado,exacto,no_observado,fixture,2026-09-14,v1,false,
C-0040,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,2,manana,entregado,415,true,persona,no,rango,no,fixture,2026-09-14,v1,true,"prueba de piloto, guion distinto"
C-0041,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,3,mediodia,entregado,4,true,automatico,si,exacto,si,fixture,2026-09-14,v1,false,
C-0042,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,4,tarde,entregado,110,true,persona,no_observado,no_observado,no,fixture,2026-09-14,v1,false,
C-0043,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,5,manana,entregado,267,true,persona,si,rango,no_observado,fixture,2026-09-14,v1,false,
C-0044,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,1,mediodia,entregado,3,true,persona,no_observado,rango,no,fixture,2026-09-14,v1,false,
C-0045,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,2,tarde,entregado,203,true,persona,no_observado,no,no_observado,fixture,2026-09-14,v1,false,
C-0046,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,3,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0047,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,4,mediodia,entregado,127,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0048,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,5,tarde,entregado,91,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0049,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,1,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0053,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,2,mediodia,entregado,6,true,automatico,si,rango,no,fixture,2026-09-14,v1,false,
C-0054,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,3,tarde,entregado,956,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0055,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,4,manana,entregado,35,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0056,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,5,mediodia,entregado,102,true,persona,si,exacto,no,fixture,2026-09-14,v1,false,
C-0057,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,1,tarde,entregado,1035,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0058,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,2,manana,entregado,22,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0059,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,3,mediodia,entregado,880,true,persona,no_observado,rango,no,fixture,2026-09-14,v1,false,
C-0060,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,4,tarde,entregado,545,true,persona,no,rango,no,fixture,2026-09-14,v1,false,
C-0061,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,5,manana,entregado,8,true,automatico,si,rango,no,fixture,2026-09-14,v1,false,
C-0062,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,1,mediodia,entregado,942,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0063,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,2,tarde,entregado,199,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0064,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,3,manana,entregado,341,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0067,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,4,mediodia,entregado,121,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0068,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,5,tarde,entregado,164,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0069,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,1,manana,entregado,6,true,automatico,si,exacto,si,fixture,2026-09-14,v1,false,
C-0070,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,2,mediodia,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0071,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,3,tarde,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0072,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,4,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0073,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,5,mediodia,entregado,315,true,persona,no,rango,no,fixture,2026-09-14,v1,false,
C-0074,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,1,tarde,entregado,806,true,persona,no_observado,rango,no_observado,fixture,2026-09-14,v1,false,
C-0075,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,2,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0076,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,3,mediodia,entregado,145,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0077,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,4,tarde,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0078,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,5,manana,entregado,279,true,persona,no,rango,no,fixture,2026-09-14,v1,false,
C-0081,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,1,mediodia,entregado,228,true,persona,no,no,no,fixture,2026-09-14,v1,true,"prueba de piloto, guion distinto"
C-0082,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,2,tarde,entregado,609,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0083,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,3,manana,entregado,14,true,persona,si,exacto,no_observado,fixture,2026-09-14,v1,false,
C-0084,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,4,mediodia,entregado,101,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0085,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,5,tarde,entregado,637,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0086,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,1,manana,entregado,681,true,persona,si,no_observado,no_observado,fixture,2026-09-14,v1,false,
C-0087,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,2,mediodia,entregado,139,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0088,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,3,tarde,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0089,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,4,manana,entregado,19,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0090,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,5,mediodia,entregado,538,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0091,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,1,tarde,entregado,22,true,persona,si,exacto,no_observado,fixture,2026-09-14,v1,false,
C-0092,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,2,manana,entregado,380,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0095,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,3,mediodia,entregado,107,true,persona,no,no_observado,no,fixture,2026-09-14,v1,false,
C-0096,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,4,tarde,entregado,902,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0097,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,5,manana,entregado,9,true,automatico,no,no,no,fixture,2026-09-14,v1,false,
C-0098,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,1,mediodia,entregado,154,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0099,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,2,tarde,entregado,25,true,persona,si,rango,no_observado,fixture,2026-09-14,v1,false,
C-0100,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,3,manana,entregado,451,true,persona,no_observado,exacto,no_observado,fixture,2026-09-14,v1,false,
C-0101,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,4,mediodia,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0102,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,5,tarde,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0103,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,1,manana,entregado,129,true,persona,no,no_observado,no,fixture,2026-09-14,v1,false,
C-0104,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,2,mediodia,entregado,267,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0105,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,3,tarde,entregado,139,true,persona,si,no_observado,si,fixture,2026-09-14,v1,false,
C-0106,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,4,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0109,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,5,mediodia,entregado,29,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0110,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,1,tarde,entregado,25,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0111,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,2,manana,entregado,28,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0112,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,3,mediodia,entregado,113,true,persona,no,no_observado,no,fixture,2026-09-14,v1,false,
C-0113,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,4,tarde,entregado,498,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0114,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,5,manana,entregado,44,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0115,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,1,mediodia,entregado,25,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0116,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,2,tarde,entregado,257,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0117,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,3,manana,entregado,7,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0118,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,4,mediodia,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0119,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,5,tarde,entregado,5,true,persona,si,rango,no,fixture,2026-09-14,v1,true,"prueba de piloto, guion distinto"
C-0120,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,1,manana,entregado,15,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0123,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,2,mediodia,entregado,222,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0124,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,3,tarde,entregado,653,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0125,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,4,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0126,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,5,mediodia,entregado,492,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0127,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,1,tarde,entregado,389,true,persona,si,exacto,no_observado,fixture,2026-09-14,v1,false,
C-0128,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,2,manana,entregado,901,true,persona,si,no_observado,si,fixture,2026-09-14,v1,false,
C-0129,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,3,mediodia,entregado,194,true,persona,si,no_observado,no_observado,fixture,2026-09-14,v1,false,
C-0130,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,4,tarde,entregado,855,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0131,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,5,manana,entregado,1052,true,persona,si,exacto,no_observado,fixture,2026-09-14,v1,false,
C-0132,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,1,mediodia,entregado,586,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0133,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,2,tarde,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0134,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,3,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0137,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,4,mediodia,entregado,227,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0138,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,5,tarde,entregado,11,true,automatico,si,rango,no_observado,fixture,2026-09-14,v1,false,
C-0139,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,1,manana,entregado,311,true,persona,si,no_observado,no,fixture,2026-09-14,v1,false,
C-0140,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,2,mediodia,entregado,101,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0141,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,3,tarde,entregado,363,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0142,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,4,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0143,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,5,mediodia,entregado,96,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0144,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,1,tarde,entregado,82,true,persona,no,rango,no,fixture,2026-09-14,v1,false,
C-0145,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,2,manana,entregado,26,true,persona,no_observado,exacto,si,fixture,2026-09-14,v1,false,
C-0146,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,3,mediodia,entregado,108,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0147,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,4,tarde,entregado,25,true,persona,si,no_observado,no,fixture,2026-09-14,v1,false,
C-0148,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,5,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0149,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,1,mediodia,entregado,162,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0150,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,2,tarde,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0153,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,3,manana,entregado,14,true,automatico,no,rango,no,fixture,2026-09-14,v1,false,
C-0154,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,4,mediodia,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0155,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,5,tarde,entregado,395,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0156,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,1,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0157,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,2,mediodia,entregado,384,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0158,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,3,tarde,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0159,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,4,manana,entregado,,false,,,,,fixture,2026-09-14,v1,true,"prueba de piloto, guion distinto"
C-0160,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,5,mediodia,entregado,348,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0161,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,1,tarde,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0162,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,2,manana,entregado,13,true,automatico,no,no,no,fixture,2026-09-14,v1,false,
C-0163,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,3,mediodia,entregado,116,true,persona,si,exacto,si,fixture,2026-09-14,v1,false,
C-0164,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,4,tarde,entregado,345,true,persona,si,no_observado,no_observado,fixture,2026-09-14,v1,false,
C-0165,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,5,manana,entregado,459,true,persona,no_observado,exacto,si,fixture,2026-09-14,v1,false,
C-0166,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,1,mediodia,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0169,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,2,tarde,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0170,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,3,manana,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0171,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-07T13:05:00-05:00,4,mediodia,entregado,359,true,persona,no,rango,no,fixture,2026-09-14,v1,false,
C-0172,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-08T16:40:00-05:00,5,tarde,entregado,22,true,persona,no_observado,no,no,fixture,2026-09-14,v1,false,
C-0173,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-09T09:15:00-05:00,1,manana,entregado,279,true,persona,si,rango,no,fixture,2026-09-14,v1,false,
C-0174,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-10T13:05:00-05:00,2,mediodia,entregado,,false,,,,,fixture,2026-09-14,v1,false,
C-0175,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-11T16:40:00-05:00,3,tarde,entregado,11,true,automatico,no,no,no_observado,fixture,2026-09-14,v1,false,
C-0176,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-03T09:15:00-05:00,4,manana,entregado,844,true,persona,no,no,no,fixture,2026-09-14,v1,false,
C-0177,ed-2026-09,g-1,whatsapp,emisor-2,2026-09-04T13:05:00-05:00,5,mediodia,entregado,576,true,persona,si,no_observado,no_observado,fixture,2026-09-14,v1,false,
C-0178,ed-2026-09,g-1,whatsapp,emisor-3,2026-09-05T16:40:00-05:00,1,tarde,entregado,442,true,persona,si,exacto,no_observado,fixture,2026-09-14,v1,false,
C-0179,ed-2026-09,g-1,whatsapp,emisor-1,2026-09-06T09:15:00-05:00,2,manana,entregado,8,true,automatico,no_observado,exacto,si,fixture,2026-09-14,v1,false,
